300;81;898;OBERTEIL 3-5 GEWINDEGÄNGE;225-0006;10;82201321;DFG-2-AX-60079;23.12.2024;23.12.2024;1200;1200;0;1.96;36
400;81;898;KONTROLLE 100%, FEDER IM OBER-;225-0006;10;82201321;DFG-2-AX-60079;23.12.2024;23.12.2024;1200;1200;0;1.4;37
500;81;898;STÜCKKONTROLLE 100%;225-0006;10;82201321;DFG-2-AX-60079;23.12.2024;23.12.2024;1200;1200;0;2;38
600;81;600;VERPACKEN: 200 STÜCK, SCHÜTTEN;225-0006;10;82201321;DFG-2-AX-60079;23.12.2024;23.12.2024;1200;1200;0;0.22;39
100;81;123;JOIN SPRING + TBY AND INSERT;225-0007;10;18858660011;121-D-611/02-C1Z-OR-BNA;03.12.2024;10.12.2024;30000;30000;0;169.35;40
200;81;100;SCREW IN SCREWS WITH FEED;225-0007;10;18858660011;121-D-611/02-C1Z-OR-BNA;10.12.2024;11.12.2024;30000;30000;0;48.05;41
300;81;730;PRINT WITH INKJET PRINTER;225-0007;10;18858660011;121-D-611/02-C1Z-OR-BNA;11.12.2024;13.12.2024;30000;30000;0;20.5;42
400;81;800;WELD STRAIN RELIEF WITH ULTRA-;225-0007;10;18858660011;121-D-611/02-C1Z-OR-BNA;13.12.2024;20.12.2024;30000;30000;0;70;43
500;81;100;SCREW TERMINAL BODIES DOWN;225-0007;10;18858660011;121-D-611/02-C1Z-OR-BNA;20.12.2024;23.12.2024;30000;30000;0;48.05;44
600;81;600;CONTROL PRINTING AND PACK:;225-0007;10;18858660011;121-D-611/02-C1Z-OR-BNA;23.12.2024;23.12.2024;30000;30000;0;23.5;45
100;81;328;64 LÖTSTIFTE IN 64-POL. LEISTE;226-0001;10;12893633;971-SLW/02-STS-10,5;18.12.2025;18.12.2025;4000;4000;0;4.84;46
200;81;479;IN 2-POL LEISTEN BRECHEN.;226-0001;10;12893633;971-SLW/02-STS-10,5;18.12.2025;18.12.2025;4000;4000;0;1.17;47
300;81;600;VERPACKEN: 500 STÜCK, SCHÜTTEN;226-0001;10;12893633;971-SLW/02-STS-10,5;18.12.2025;18.12.2025;4000;4000;0;0.67;48
100;81;20;KONTAKTFEDER IN GEH. FÜGEN.;325-0002;10;10816096;115-F-RKS/02-KB;01.01.2025;02.01.2025;1710;1710;0;3.71;49
200;81;20;BUCHSE IN GEHÄUSE EINLEGEN UND;325-0002;10;10816096;115-F-RKS/02-KB;02.01.2025;02.01.2025;1710;1710;0;5.05;50
300;81;100;SCHRAUBEN EINDREHEN MIT ZF-;325-0002;10;10816096;115-F-RKS/02-KB;02.01.2025;02.01.2025;1710;1710;0;2.74;51
400;81;100;SCHRAUBEN HOCHDREHEN MIT ZF-;325-0002;10;10816096;115-F-RKS/02-KB;02.01.2025;02.01.2025;1710;1710;0;2.74;52
500;81;600;VERPACKEN: 90 STÜCK, LEGEN.;325-0002;10;10816096;115-F-RKS/02-KB;02.01.2025;02.01.2025;1710;1710;0;0.97;53
100;81;111;11-POLIG FEDERN + BU IN GEH.;325-0003;10;10840011001;110-A-111/11-BES.1-11;01.01.2025;01.01.2025;1000;1000;0;16.16;54
200;81;899;SCHRAUBEN EINDREHEN MIT ZF-;325-0003;10;10840011001;110-A-111/11-BES.1-11;01.01.2025;01.01.2025;1000;1000;0;4.09;55
300;81;899;BUCHSE WIEDER RUNTERSCHRAUBEN;325-0003;10;10840011001;110-A-111/11-BES.1-11;01.01.2025;01.01.2025;1000;1000;0;4.09;56
400;81;720;BEDRUCKEN MIT TINTENSTRAHL-;325-0003;10;10840011001;110-A-111/11-BES.1-11;01.01.2025;01.01.2025;1000;1000;0;0.68;57
500;81;600;KONTROLLE DRUCK UND VERPACKEN:;325-0003;10;10840011001;110-A-111/11-BES.1-11;01.01.2025;01.01.2025;1000;1000;0;1.22;58
